"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ZNF318",1.30788126352114e-10,0.161765009494365,0.179,0.131,3.43214201173218e-06,"Retinal progenitors","ZNF318"
"PITPNA1",1.31258835634848e-10,0.199078480126347,0.268,0.209,3.44449436472969e-06,"Retinal progenitors","PITPNA"
"MTO1",1.31877796564768e-10,0.238625102367821,0.116,0.078,3.46073713745263e-06,"Retinal progenitors","MTO1"
"AC093535.1",1.31905860831783e-10,0.894046556396242,0.03,0.014,3.46147359994764e-06,"Retinal progenitors","AC093535.1"
"NFRKB2",1.34199265820307e-10,0.136545596647189,0.153,0.109,3.52165713365649e-06,"Retinal progenitors","NFRKB"
"SERHL21",1.44009241461625e-10,0.508273997290261,0.124,0.086,3.77909051443597e-06,"Retinal progenitors","SERHL2"
"PLAGL2",1.45054602719601e-10,0.167865083336334,0.057,0.032,3.80652288456776e-06,"Retinal progenitors","PLAGL2"
"SIX51",1.47042937606555e-10,0.196658661742245,0.023,0.009,3.8587007686712e-06,"Retinal progenitors","SIX5"
"AC005746.22",1.47518109832325e-10,0.29135946435436,0.124,0.085,3.87117023821987e-06,"Retinal progenitors","AC005746.2"
"DUSP13",1.50956780324245e-10,0.329164923655897,0.043,0.022,3.96140782926884e-06,"Retinal progenitors","DUSP1"
"FAM234A",1.51385162768324e-10,0.326233205706891,0.113,0.077,3.97264944136635e-06,"Retinal progenitors","FAM234A"
"NUDT24",1.54076469026427e-10,0.199479103228411,0.088,0.056,4.04327470019149e-06,"Retinal progenitors","NUDT2"
"CABCOCO12",1.55772928182719e-10,0.390615159788233,0.064,0.038,4.08779318137092e-06,"Retinal progenitors","CABCOCO1"
"AARS21",1.55867984401702e-10,0.376351132269081,0.072,0.044,4.09028764666947e-06,"Retinal progenitors","AARS2"
"EXOSC22",1.57072547920442e-10,0.267473587607084,0.092,0.059,4.12189780252823e-06,"Retinal progenitors","EXOSC2"
"NPNT",1.57594743694269e-10,1.48104890084755,0.016,0.005,4.135601264025e-06,"Retinal progenitors","NPNT"
"RAD17",1.58160533369324e-10,0.150323054961078,0.228,0.174,4.15044871667781e-06,"Retinal progenitors","RAD17"
"MBD61",1.63599393234707e-10,0.147683572359827,0.117,0.079,4.29317527726519e-06,"Retinal progenitors","MBD6"
"LINC00843",1.65480785767157e-10,0.183635851168981,0.161,0.116,4.34254678010173e-06,"Retinal progenitors","LINC00843"
"TAPBP1",1.7090409266607e-10,0.112382365698584,0.075,0.046,4.484865199743e-06,"Retinal progenitors","TAPBP"
"H6PD2",1.71026743566323e-10,0.123850702369736,0.121,0.082,4.48808380466746e-06,"Retinal progenitors","H6PD"
"FAM53A1",1.74432544842224e-10,0.925489714126958,0.031,0.015,4.57745884174965e-06,"Retinal progenitors","FAM53A"
"KHNYN2",1.76359886769651e-10,0.373063237377596,0.069,0.042,4.62803614860919e-06,"Retinal progenitors","KHNYN"
"GOLPH3L2",1.80323634271141e-10,0.125556849331127,0.155,0.111,4.73205281054329e-06,"Retinal progenitors","GOLPH3L"
"CTSV1",1.80960778795366e-10,1.56261884760002,0.015,0.005,4.74877275714798e-06,"Retinal progenitors","CTSV"
"AC025284.12",1.81313616790303e-10,0.338214595651908,0.04,0.02,4.75803193181113e-06,"Retinal progenitors","AC025284.1"
"MTIF21",1.81604701150959e-10,0.320532317617842,0.09,0.058,4.76567056760347e-06,"Retinal progenitors","MTIF2"
"AC133550.1",1.82617766101495e-10,0.743696915010015,0.041,0.021,4.79225541803543e-06,"Retinal progenitors","AC133550.1"
